corruption,severity,test result
vanilla,x,0.8186097741127014
gaussian noise,1,0.805588960647583
gaussian noise,2,0.7690304517745972
gaussian noise,3,0.7132412195205688
gaussian noise,4,0.5996594429016113
gaussian noise,5,0.38161057233810425
gaussian blur,1,0.8214142918586731
gaussian blur,2,0.8116987347602844
gaussian blur,3,0.7833533883094788
gaussian blur,4,0.6941105723381042
gaussian blur,5,0.515625
contrast,1,0.8029847741127014
contrast,2,0.7536057829856873
contrast,3,0.6840945482254028
contrast,4,0.5661057829856873
contrast,5,0.4168669879436493
jpeg,1,0.8133012652397156
jpeg,2,0.8041867017745972
jpeg,3,0.7946714758872986
jpeg,4,0.7835537195205688
jpeg,5,0.7016226053237915
