corruption,severity,test_result
vanilla,x,0.8236178159713745
gaussian noise,1,0.8114984035491943
gaussian noise,2,0.7706330418586731
gaussian noise,3,0.7140424847602844
gaussian noise,4,0.5917468070983887
gaussian noise,5,0.38721954822540283
gaussian blur,1,0.8264222741127014
gaussian blur,2,0.8193109035491943
gaussian blur,3,0.7940705418586731
gaussian blur,4,0.7130408883094788
gaussian blur,5,0.5337539911270142
contrast,1,0.8163061141967773
contrast,2,0.7779447436332703
contrast,3,0.7258613705635071
contrast,4,0.6347155570983887
contrast,5,0.48487579822540283
jpeg,1,0.8205128312110901
jpeg,2,0.8110977411270142
jpeg,3,0.7984775900840759
jpeg,4,0.7916666865348816
jpeg,5,0.7051281929016113
