corruption,severity,test result
vanilla,x,0.8082932829856873
gaussian noise,1,0.7962740659713745
gaussian noise,2,0.7661257982254028
gaussian noise,3,0.7129406929016113
gaussian noise,4,0.6052684187889099
gaussian noise,5,0.41065704822540283
gaussian blur,1,0.8120993971824646
gaussian blur,2,0.8070913553237915
gaussian blur,3,0.7827523946762085
gaussian blur,4,0.704026460647583
gaussian blur,5,0.5221354365348816
contrast,1,0.8012820482254028
contrast,2,0.7601162195205688
contrast,3,0.7009214758872986
contrast,4,0.6038662195205688
contrast,5,0.4798677861690521
jpeg,1,0.8069912195205688
jpeg,2,0.7972756624221802
jpeg,3,0.7921674847602844
jpeg,4,0.7747396230697632
jpeg,5,0.7009214758872986
