corruption,severity,test result
vanilla,x,0.8552684187889099
gaussian noise,1,0.8248197436332703
gaussian noise,2,0.7462940812110901
gaussian noise,3,0.6465344429016113
gaussian noise,4,0.4663461744785309
gaussian noise,5,0.24539263546466827
gaussian blur,1,0.856370210647583
gaussian blur,2,0.8436498641967773
gaussian blur,3,0.8101963400840759
gaussian blur,4,0.7186498641967773
gaussian blur,5,0.5430689454078674
contrast,1,0.8544671535491943
contrast,2,0.8366386294364929
contrast,3,0.8149038553237915
contrast,4,0.7583132982254028
contrast,5,0.6266025900840759
jpeg,1,0.8501602411270142
jpeg,2,0.8352363705635071
jpeg,3,0.8203125
jpeg,4,0.8040865659713745
jpeg,5,0.7054287195205688
