corruption,severity,test result
vanilla,x,0.09985977411270142
gaussian noise,1,0.09985977411270142
gaussian noise,2,0.09965945780277252
gaussian noise,3,0.09995993971824646
gaussian noise,4,0.10016025602817535
gaussian noise,5,0.10006009787321091
gaussian blur,1,0.09985977411270142
gaussian blur,2,0.09985977411270142
gaussian blur,3,0.10016025602817535
gaussian blur,4,0.10016025602817535
gaussian blur,5,0.09995993971824646
contrast,1,0.09995993971824646
contrast,2,0.09995993971824646
contrast,3,0.09995993971824646
contrast,4,0.10006009787321091
contrast,5,0.10016025602817535
jpeg,1,0.10006009787321091
jpeg,2,0.10006009787321091
jpeg,3,0.09985977411270142
jpeg,4,0.10016025602817535
jpeg,5,0.10006009787321091
